Country,Population
Nigeria,"206,139,589"
Ethiopia,"114,963,588"
Egypt,"102,334,404"
DR Congo,"89,561,403"
South Africa,"59,308,690"
Tanzania,"59,734,218"
Kenya,"53,771,296"
Uganda,"45,741,007"
Algeria,"43,851,044"
Sudan,"43,849,260"
Morocco,"36,910,560"
Angola,"32,866,272"
Ghana,"31,072,940"
Mozambique,"31,255,435"
Madagascar,"27,691,018"
Cameroon,"26,545,863"
Côte d'Ivoire,"26,378,274"
Niger,"24,206,644"
Burkina Faso,"20,903,273"
Mali,"20,250,833"
Malawi,"19,129,952"
Zambia,"18,383,955"
Senegal,"16,743,927"
Chad,"16,425,864"
Somalia,"15,893,222"
Zimbabwe,"14,862,924"
Guinea,"13,132,795"
Rwanda,"12,952,218"
Benin,"12,123,200"
Tunisia,"11,818,619"
Burundi,"11,890,784"
South Sudan,"11,193,725"
Togo,"8,278,724"
Sierra Leone,"7,976,983"
Libya,"6,871,292"
Congo,"5,518,087"
Liberia,"5,057,681"
Central African Republic,"4,829,767"
Mauritania,"4,649,658"
Eritrea,"3,546,421"
Namibia,"2,540,905"
Gambia,"2,416,668"
Botswana,"2,351,627"
Gabon,"2,225,734"
Lesotho,"2,142,249"
Guinea-Bissau,"1,968,001"
Equatorial Guinea,"1,402,985"
Mauritius,"1,271,768"
Eswatini,"1,160,164"
Djibouti,"988,000"
Réunion,"895,312"
Comoros,"869,601"
Western Sahara,"597,339"
Cabo Verde,"555,987"
Mayotte,"272,815"
Sao Tome & Principe,"219,159"
Seychelles,"98,347"
Saint Helena,"6,077"